DATE,TWEXB
2011-07-13,95.0275
2011-07-20,94.7922
2011-07-27,93.9662
2011-08-03,94.1548
2011-08-10,95.4477
2011-08-17,95.0835
2011-08-24,95.1994
2011-08-31,95.1510
2011-09-07,95.6809
2011-09-14,97.1474
2011-09-21,97.9078
2011-09-28,99.7623
2011-10-05,100.4685
2011-10-12,99.3470
2011-10-19,98.6393
2011-10-26,98.4947
2011-11-02,97.7303
2011-11-09,98.5671
2011-11-16,99.1462
2011-11-23,100.0662
2011-11-30,100.5750
2011-12-07,99.4444
2011-12-14,100.4896
2011-12-21,100.9171
2011-12-28,100.7062
2012-01-04,100.4078
2012-01-11,100.7213
2012-01-18,100.2513
2012-01-25,99.3700
2012-02-01,98.4772
2012-02-08,97.8376
2012-02-15,98.0878
2012-02-22,98.3116
2012-02-29,98.0121
2012-03-07,98.4618
2012-03-14,98.7040
2012-03-21,98.7359
2012-03-28,98.6723
2012-04-04,98.6268
2012-04-11,99.1932
2012-04-18,99.1013
2012-04-25,99.0850
2012-05-02,98.6097
2012-05-09,99.3620
2012-05-16,100.4252
2012-05-23,101.4382
2012-05-30,102.2238
2012-06-06,102.7607
2012-06-13,102.2293
2012-06-20,101.6900
2012-06-27,102.1838
2012-07-04,101.3709
2012-07-11,101.7909
2012-07-18,101.7073
2012-07-25,101.9838
2012-08-01,101.2634
2012-08-08,100.9278
2012-08-15,100.8349
2012-08-22,100.7882
2012-08-29,100.5053
2012-09-05,100.5279
2012-09-12,99.5780
2012-09-19,98.6774
2012-09-26,98.9382
2012-10-03,98.9131
2012-10-10,98.7834
2012-10-17,98.6970
2012-10-24,98.9362
2012-10-31,99.2312
2012-11-07,99.4097
2012-11-14,99.7472
2012-11-21,99.8008
2012-11-28,99.3521
2012-12-05,99.1160
2012-12-12,99.0200
2012-12-19,98.7258
2012-12-26,99.0082
2013-01-02,99.0730
2013-01-09,99.0762
2013-01-16,98.6222
2013-01-23,98.7912
2013-01-30,99.0513
2013-02-06,98.9487
2013-02-13,99.4765
2013-02-20,99.6753
2013-02-27,100.3472
2013-03-06,100.6441
2013-03-13,100.6250
2013-03-20,100.5203
2013-03-27,100.4600
2013-04-03,100.3508
2013-04-10,100.3088
2013-04-17,100.0348
2013-04-24,100.4504
2013-05-01,99.8120
2013-05-08,99.6123
2013-05-15,100.2959
2013-05-22,101.1124
2013-05-29,101.4765
2013-06-05,101.4659
