DATE,cpi
1994-05-01,88.6
1994-06-01,88.88
1994-07-01,89.12
1994-08-01,89.41
1994-09-01,89.45
1994-10-01,89.53
1994-11-01,89.73
1994-12-01,89.89
1995-01-01,90.09
1995-02-01,90.25
1995-03-01,90.42
1995-04-01,90.74
1995-05-01,90.94
1995-06-01,91.14
1995-07-01,91.23
1995-08-01,91.39
1995-09-01,91.51
1995-10-01,91.75
1995-11-01,91.79
1995-12-01,91.95
1996-01-01,92.28
1996-02-01,92.52
1996-03-01,92.8
1996-04-01,93.13
1996-05-01,93.37
1996-06-01,93.45
1996-07-01,93.61
1996-08-01,93.73
1996-09-01,94.02
1996-10-01,94.26
1996-11-01,94.58
1996-12-01,94.82
1997-01-01,94.95
1997-02-01,95.11
1997-03-01,95.11
1997-04-01,95.23
1997-05-01,95.23
1997-06-01,95.43
1997-07-01,95.51
1997-08-01,95.67
1997-09-01,95.96
1997-10-01,96.12
1997-11-01,96.24
1997-12-01,96.28
1998-01-01,96.36
1998-02-01,96.36
1998-03-01,96.36
1998-04-01,96.44
1998-05-01,96.68
1998-06-01,96.77
1998-07-01,96.93
1998-08-01,97.09
1998-09-01,97.13
1998-10-01,97.29
1998-11-01,97.45
1998-12-01,97.61
1999-01-01,97.78
1999-02-01,97.74
1999-03-01,97.86
1999-04-01,98.46
1999-05-01,98.54
1999-06-01,98.58
1999-07-01,98.95
1999-08-01,99.23
1999-09-01,99.64
1999-10-01,99.84
1999-11-01,100
1999-12-01,100
2000-01-01,100.3
2000-02-01,100.9
2000-03-01,101.6
2000-04-01,101.6
2000-05-01,101.7
2000-06-01,102.1
2000-07-01,102.3
2000-08-01,102.3
2000-09-01,102.8
2000-10-01,102.9
2000-11-01,102.8
2000-12-01,102.6
2001-01-01,103.3
2001-02-01,103.7
2001-03-01,103.9
2001-04-01,104.2
2001-05-01,104.6
2001-06-01,104.8
2001-07-01,104.5
2001-08-01,104.6
2001-09-01,104.9
2001-10-01,104.7
2001-11-01,104.4
2001-12-01,103.9
2002-01-01,104.2
2002-02-01,104.5
2002-03-01,105.1
2002-04-01,105.6
2002-05-01,105.6
2002-06-01,105.6
2002-07-01,105.7
2002-08-01,106
2002-09-01,106.3
2002-10-01,106.4
2002-11-01,106.3
2002-12-01,106
2003-01-01,106.5
2003-02-01,107.3
2003-03-01,107.9
2003-04-01,107.7
2003-05-01,107.5
2003-06-01,107.6
2003-07-01,107.7
2003-08-01,108.2
2003-09-01,108.5
2003-10-01,108.4
2003-11-01,108
2003-12-01,107.8
2004-01-01,108.5
2004-02-01,109.1
2004-03-01,109.7
2004-04-01,110
2004-05-01,110.6
2004-06-01,110.8
2004-07-01,110.7
2004-08-01,110.7
2004-09-01,111
2004-10-01,111.6
2004-11-01,111.6
2004-12-01,111.2
2005-01-01,111.3
2005-02-01,111.9
2005-03-01,112.6
2005-04-01,113.4
2005-05-01,113.3
2005-06-01,113.2
2005-07-01,113.7
2005-08-01,114.3
2005-09-01,115.6
2005-10-01,115.7
2005-11-01,114.9
2005-12-01,114.4
2006-01-01,115.2
2006-02-01,115.4
2006-03-01,116
2006-04-01,116.9
2006-05-01,117.5
2006-06-01,117.7
2006-07-01,118.1
2006-08-01,118.3
2006-09-01,117.8
2006-10-01,117.1
2006-11-01,116.9
2006-12-01,117
2007-01-01,117.33
2007-02-01,117.88
2007-03-01,118.91
2007-04-01,119.67
2007-05-01,120.29
2007-06-01,120.44
2007-07-01,120.38
2007-08-01,120.29
2007-09-01,120.64
2007-10-01,120.89
2007-11-01,121.48
2007-12-01,121.3
2008-01-01,121.87
2008-02-01,122.25
2008-03-01,123.32
2008-04-01,124.12
2008-05-01,125.17
2008-06-01,126.31
2008-07-01,126.92
2008-08-01,126.59
2008-09-01,126.55
2008-10-01,125.5
2008-11-01,123.04
2008-12-01,121.56
2009-01-01,122.1
2009-02-01,122.6
2009-03-01,122.8
2009-04-01,123.05
2009-05-01,123.43
2009-06-01,124.49
2009-07-01,124.29
2009-08-01,124.62
2009-09-01,124.71
2009-10-01,124.79
2009-11-01,124.79
2009-12-01,124.54
2010-01-01,124.99
2010-02-01,124.97
2010-03-01,125.44
2010-04-01,125.62
2010-05-01,125.68
2010-06-01,125.52
2010-07-01,125.54
2010-08-01,125.76
2010-09-01,125.83
2010-10-01,125.97
2010-11-01,125.92
2010-12-01,126.14
2011-01-01,126.78
2011-02-01,127.36
2011-03-01,128.59
2011-04-01,129.48
2011-05-01,130
2011-06-01,129.85
2011-07-01,129.98
2011-08-01,130.35
2011-09-01,130.64
2011-10-01,130.37
2011-11-01,130.2
2011-12-01,129.84
2012-01-01,130.44
2012-02-01,130.95
2012-03-01,131.91
2012-04-01,132.28
2012-05-01,132.15
2012-06-01,131.96
2012-07-01,131.73
2012-08-01,132.43
